"function_id","function_level","l0_domain","l1_code","l1_name","l2_index","l2_name","variant","source_doc"
"AVI.HLTH.101","L2","AVIATE","HLTH","Aircraft Health and Condition Management","1","Acquire Health and Fault Data","Both","aircraft_health_and_condition_management.md"
"AVI.HLTH.102","L2","AVIATE","HLTH","Aircraft Health and Condition Management","2","Detect and Classify Fault Conditions","Both","aircraft_health_and_condition_management.md"
"AVI.HLTH.103","L2","AVIATE","HLTH","Aircraft Health and Condition Management","3","Generate Alerts and Maintenance Recommendations","Both","aircraft_health_and_condition_management.md"
"AVI.HLTH.104","L2","AVIATE","HLTH","Aircraft Health and Condition Management","4","Record Condition History and Trend Signals","Both","aircraft_health_and_condition_management.md"
"AVI.INTG.001","L1","AVIATE","INTG","Data Integrity and Domain Isolation","","","Both","data_integrity_and_domain_isolation.md"
"AVI.INTG.101","L2","AVIATE","INTG","Data Integrity and Domain Isolation","1","Validate Inter-Function Data Consistency","Both","data_integrity_and_domain_isolation.md"
"AVI.INTG.102","L2","AVIATE","INTG","Data Integrity and Domain Isolation","2","Enforce Trust Boundary Isolation","Both","data_integrity_and_domain_isolation.md"
"AVI.INTG.103","L2","AVIATE","INTG","Data Integrity and Domain Isolation","3","Detect and Log Trust-Boundary Violations","Both","data_integrity_and_domain_isolation.md"
"AVI.INTG.104","L2","AVIATE","INTG","Data Integrity and Domain Isolation","4","Publish Integrity and Confidence Status","Both","data_integrity_and_domain_isolation.md"
"AVI.ELEC.001","L1","AVIATE","ELEC","Electrical Power Generation and Distribution","","","Both","electrical_power_generation_and_distribution.md"
"AVI.ELEC.101","L2","AVIATE","ELEC","Electrical Power Generation and Distribution","1","Generate Electrical Power","Both","electrical_power_generation_and_distribution.md"
"AVI.ELEC.102","L2","AVIATE","ELEC","Electrical Power Generation and Distribution","2","Condition and Convert Power","Both","electrical_power_generation_and_distribution.md"
"AVI.ELEC.103","L2","AVIATE","ELEC","Electrical Power Generation and Distribution","3","Manage Bus and Load Distribution","Both","electrical_power_generation_and_distribution.md"
"AVI.ELEC.104","L2","AVIATE","ELEC","Electrical Power Generation and Distribution","4","Isolate Faults and Reconfigure Power Paths","Both","electrical_power_generation_and_distribution.md"
"AVI.ELEC.105","L2","AVIATE","ELEC","Electrical Power Generation and Distribution","5","Manage Electronic Control Circuit Breaker Units (`ECCBUs`) and controlled load-shed policies","Both","electrical_power_generation_and_distribution.md"
"AVI.HYDR.001","L1","AVIATE","HYDR","Hydraulic Services","","","Both","hydraulic_services.md"
"AVI.HYDR.101","L2","AVIATE","HYDR","Hydraulic Services","1","Generate Hydraulic Pressure","Both","hydraulic_services.md"
"AVI.HYDR.102","L2","AVIATE","HYDR","Hydraulic Services","2","Distribute Hydraulic Power","Both","hydraulic_services.md"
"AVI.HYDR.103","L2","AVIATE","HYDR","Hydraulic Services","3","Actuator Supply and Return Management","Both","hydraulic_services.md"
"AVI.HYDR.104","L2","AVIATE","HYDR","Hydraulic Services","4","Leak/Fault Detection and Isolation","Both","hydraulic_services.md"
"AVI.PNEU.001","L1","AVIATE","PNEU","Pneumatic and Environmental Services","","","Both","pneumatic_and_environmental_services.md"
"AVI.PNEU.101","L2","AVIATE","PNEU","Pneumatic and Environmental Services","1","Manage Pressurization","Both","pneumatic_and_environmental_services.md"
"AVI.PNEU.102","L2","AVIATE","PNEU","Pneumatic and Environmental Services","2","Manage Bleed/Airflow Paths","Both","pneumatic_and_environmental_services.md"
"AVI.PNEU.103","L2","AVIATE","PNEU","Pneumatic and Environmental Services","3","Regulate Environmental Conditions","Both","pneumatic_and_environmental_services.md"
"AVI.PNEU.104","L2","AVIATE","PNEU","Pneumatic and Environmental Services","4","Detect and Respond to Environmental Faults","Both","pneumatic_and_environmental_services.md"
"AVI.PROP.001","L1","AVIATE","PROP","Propulsion","","","Both","propulsion.md"
"AVI.PROP.101","L2","AVIATE","PROP","Propulsion","1","Thrust Command Management","Both","propulsion.md"
"AVI.PROP.102","L2","AVIATE","PROP","Propulsion","2","Engine/Propulsor Control and Monitoring","Both","propulsion.md"
"AVI.PROP.103","L2","AVIATE","PROP","Propulsion","3","Start, Restart, and Shutdown Sequencing","Both","propulsion.md"
"AVI.PROP.104","L2","AVIATE","PROP","Propulsion","4","Protection and Limit Management","Both","propulsion.md"
"AVI.PROP.105","L2","AVIATE","PROP","Propulsion","5","Digital Engine Control Management (`DEEC`/`FADEC` authority and mode management)","Both","propulsion.md"
"AVI.VSYS.001","L1","AVIATE","VSYS","Vehicle Systems Grouping","","","Both","vehicle_systems_grouping.md"
"AVI.VSYS.101","L2","AVIATE","VSYS","Vehicle Systems Grouping","1","Cross-System Resource Arbitration and Mode Coordination","Both","vehicle_systems_grouping.md"
"AVI.VSYS.102","L2","AVIATE","VSYS","Vehicle Systems Grouping","2","Vehicle-System Fault Containment and Reconfiguration Orchestration","Both","vehicle_systems_grouping.md"
"AVI.VSYS.103","L2","AVIATE","VSYS","Vehicle Systems Grouping","3","Platform Services Assurance and Dispatch Availability Management","Both","vehicle_systems_grouping.md"
"COM.AGND.001","L1","COMMUNICATE","AGND","Air-Ground Operational Communications","","","Both","air_ground_operational_communications.md"
"COM.AGND.101","L2","COMMUNICATE","AGND","Air-Ground Operational Communications","1","Voice Communication Management","Both","air_ground_operational_communications.md"
"COM.AGND.102","L2","COMMUNICATE","AGND","Air-Ground Operational Communications","2","Message Prioritization and Routing","Both","air_ground_operational_communications.md"
"COM.AGND.103","L2","COMMUNICATE","AGND","Air-Ground Operational Communications","3","Communication Availability and Fallback Management","Both","air_ground_operational_communications.md"
"COM.AGND.104","L2","COMMUNICATE","AGND","Air-Ground Operational Communications","4","Communication Logging and Audit Trail","Both","air_ground_operational_communications.md"
"COM.AGND.105","L2","COMMUNICATE","AGND","Air-Ground Operational Communications","5","Manage Surveillance Broadcast Exchange (`ADS-B In` and `ADS-B Out`)","Both","air_ground_operational_communications.md"
"COM.DLNK.001","L1","COMMUNICATE","DLNK","Data Link and Network Exchange","","","Both","data_link_and_network_exchange.md"
"COM.DLNK.101","L2","COMMUNICATE","DLNK","Data Link and Network Exchange","1","Session Establishment and Trust Setup","Both","data_link_and_network_exchange.md"
"COM.DLNK.102","L2","COMMUNICATE","DLNK","Data Link and Network Exchange","2","Message Serialization and Validation","Both","data_link_and_network_exchange.md"
"COM.DLNK.103","L2","COMMUNICATE","DLNK","Data Link and Network Exchange","3","Link Health Monitoring and Recovery","Both","data_link_and_network_exchange.md"
"COM.DLNK.104","L2","COMMUNICATE","DLNK","Data Link and Network Exchange","4","Confidentiality and Integrity Protection","Both","data_link_and_network_exchange.md"
"COM.DLNK.105","L2","COMMUNICATE","DLNK","Data Link and Network Exchange","5","Manage Flight Plan and Operational Dispatch Data Links","Both","data_link_and_network_exchange.md"
"COM.DLNK.106","L2","COMMUNICATE","DLNK","Data Link and Network Exchange","6","Manage Passenger Flight and Gate Coordination Data Links [Passenger]","Both","data_link_and_network_exchange.md"
"COM.DLNK.107","L2","COMMUNICATE","DLNK","Data Link and Network Exchange","7","Manage Commercial Service Data Exchanges [Passenger]","Both","data_link_and_network_exchange.md"
"COM.INTC.001","L1","COMMUNICATE","INTC","Internal Coordination and Mission Communications","","","Both","internal_coordination_and_mission_communications.md"
"COM.INTC.101","L2","COMMUNICATE","INTC","Internal Coordination and Mission Communications","1","Crew Coordination Messaging","Both","internal_coordination_and_mission_communications.md"
"COM.INTC.102","L2","COMMUNICATE","INTC","Internal Coordination and Mission Communications","2","System-to-System Coordination Signaling","Both","internal_coordination_and_mission_communications.md"
"COM.INTC.103","L2","COMMUNICATE","INTC","Internal Coordination and Mission Communications","3","Mission Team Data Dissemination [Missionized]","Both","internal_coordination_and_mission_communications.md"
"COM.INTC.104","L2","COMMUNICATE","INTC","Internal Coordination and Mission Communications","4","Information Sharing Policy Enforcement","Both","internal_coordination_and_mission_communications.md"
"NAV.GUID.001","L1","NAVIGATE","GUID","Guidance and Trajectory Management","","","Both","guidance_and_trajectory_management.md"
"NAV.GUID.101","L2","NAVIGATE","GUID","Guidance and Trajectory Management","1","Compute Trajectory Intent","Both","guidance_and_trajectory_management.md"
"NAV.GUID.102","L2","NAVIGATE","GUID","Guidance and Trajectory Management","2","Apply Performance and Constraint Models","Both","guidance_and_trajectory_management.md"
"NAV.GUID.103","L2","NAVIGATE","GUID","Guidance and Trajectory Management","3","Publish Guidance Targets","Both","guidance_and_trajectory_management.md"
"NAV.GUID.104","L2","NAVIGATE","GUID","Guidance and Trajectory Management","4","Monitor Trajectory Conformance","Both","guidance_and_trajectory_management.md"
"NAV.SENS.001","L1","NAVIGATE","SENS","Navigation Sensor Management","","","Both","navigation_sensor_management.md"
"NAV.SENS.101","L2","NAVIGATE","SENS","Navigation Sensor Management","1","Manage Sensor Source Selection","Both","navigation_sensor_management.md"
"NAV.SENS.102","L2","NAVIGATE","SENS","Navigation Sensor Management","2","Validate Sensor Health and Integrity","Both","navigation_sensor_management.md"
"NAV.SENS.103","L2","NAVIGATE","SENS","Navigation Sensor Management","3","Detect Spoofing/Jamming Indicators","Both","navigation_sensor_management.md"
"NAV.SENS.104","L2","NAVIGATE","SENS","Navigation Sensor Management","4","Publish Position and Uncertainty Estimates","Both","navigation_sensor_management.md"
"NAV.RTE.001","L1","NAVIGATE","RTE","Route and Waypoint Management","","","Both","route_and_waypoint_management.md"
"NAV.RTE.101","L2","NAVIGATE","RTE","Route and Waypoint Management","1","Maintain Route Graph and Leg Definitions","Both","route_and_waypoint_management.md"
"NAV.RTE.102","L2","NAVIGATE","RTE","Route and Waypoint Management","2","Validate Waypoint and Procedure Integrity","Both","route_and_waypoint_management.md"
"NAV.RTE.103","L2","NAVIGATE","RTE","Route and Waypoint Management","3","Manage Active/Alternate Route Selection","Both","route_and_waypoint_management.md"
"NAV.RTE.104","L2","NAVIGATE","RTE","Route and Waypoint Management","4","Handle In-Flight Amendments","Both","route_and_waypoint_management.md"
"NAV.PLAN.001","L1","NAVIGATE","PLAN","Route Planning and Replanning","","","Both","route_planning_and_replanning.md"
"NAV.PLAN.101","L2","NAVIGATE","PLAN","Route Planning and Replanning","1","Generate Initial Route Plan","Both","route_planning_and_replanning.md"
"NAV.PLAN.102","L2","NAVIGATE","PLAN","Route Planning and Replanning","2","Evaluate Constraints and Hazards","Both","route_planning_and_replanning.md"
"NAV.PLAN.103","L2","NAVIGATE","PLAN","Route Planning and Replanning","3","Replan for Contingencies and Diversions","Both","route_planning_and_replanning.md"
"NAV.PLAN.104","L2","NAVIGATE","PLAN","Route Planning and Replanning","4","Coordinate Route Changes with Guidance and Communication Functions","Both","route_planning_and_replanning.md"
"OPS.MSN.001","L1","OPERATE","MSN","Mission Management","","","Missionized","mission_management.md"
"OPS.MSN.101","L2","OPERATE","MSN","Mission Management","1","Manage Mission Objectives and Priorities","Missionized","mission_management.md"
"OPS.MSN.102","L2","OPERATE","MSN","Mission Management","2","Coordinate Sensor Tasking with Mission Intent","Missionized","mission_management.md"
"OPS.MSN.103","L2","OPERATE","MSN","Mission Management","3","Manage Mission Timeline and Dynamic Replanning","Missionized","mission_management.md"
"OPS.MSN.104","L2","OPERATE","MSN","Mission Management","4","Coordinate Interactions Between Payload, Communications, and Crew","Missionized","mission_management.md"
"OPS.MDIS.001","L1","OPERATE","MDIS","Mission Product and Dissemination Management","","","Missionized","mission_product_and_dissemination_management.md"
"OPS.MDIS.101","L2","OPERATE","MDIS","Mission Product and Dissemination Management","1","Generate Mission Products","Missionized","mission_product_and_dissemination_management.md"
"OPS.MDIS.102","L2","OPERATE","MDIS","Mission Product and Dissemination Management","2","Apply Product Classification and Handling Rules","Missionized","mission_product_and_dissemination_management.md"
"OPS.MDIS.103","L2","OPERATE","MDIS","Mission Product and Dissemination Management","3","Disseminate Products to Mission Stakeholders","Missionized","mission_product_and_dissemination_management.md"
"OPS.MDIS.104","L2","OPERATE","MDIS","Mission Product and Dissemination Management","4","Track Product Provenance and Revisions","Missionized","mission_product_and_dissemination_management.md"
"OPS.MDIS.105","L2","OPERATE","MDIS","Mission Product and Dissemination Management","5","Coordinate Mission Management and Product Prioritization","Missionized","mission_product_and_dissemination_management.md"
"OPS.MDIS.106","L2","OPERATE","MDIS","Mission Product and Dissemination Management","6","Publish Weapon-Employment Supporting Data Products","Missionized","mission_product_and_dissemination_management.md"
"OPS.SFUS.001","L1","OPERATE","SFUS","Sensor Correlation and Fusion","","","Missionized","sensor_correlation_and_fusion.md"
"OPS.SFUS.101","L2","OPERATE","SFUS","Sensor Correlation and Fusion","1","Normalize Multi-Sensor Inputs","Missionized","sensor_correlation_and_fusion.md"
"OPS.SFUS.102","L2","OPERATE","SFUS","Sensor Correlation and Fusion","2","Correlate Observations Across Sources","Missionized","sensor_correlation_and_fusion.md"
"OPS.SFUS.103","L2","OPERATE","SFUS","Sensor Correlation and Fusion","3","Generate Fused Tracks and Confidence Metrics","Missionized","sensor_correlation_and_fusion.md"
"OPS.SFUS.104","L2","OPERATE","SFUS","Sensor Correlation and Fusion","4","Resolve Conflicts and Ambiguities","Missionized","sensor_correlation_and_fusion.md"
"OPS.SFUS.105","L2","OPERATE","SFUS","Sensor Correlation and Fusion","5","Perform Multispectral Sensor Fusion","Missionized","sensor_correlation_and_fusion.md"
"OPS.SCAL.001","L1","OPERATE","SCAL","Sensor Management and Calibration","","","Missionized","sensor_management_and_calibration.md"
"OPS.SCAL.101","L2","OPERATE","SCAL","Sensor Management and Calibration","1","Manage Sensor Configuration Baselines","Missionized","sensor_management_and_calibration.md"
"OPS.SCAL.102","L2","OPERATE","SCAL","Sensor Management and Calibration","2","Execute Calibration Procedures","Missionized","sensor_management_and_calibration.md"
"OPS.SCAL.103","L2","OPERATE","SCAL","Sensor Management and Calibration","3","Validate Calibration Outcomes","Missionized","sensor_management_and_calibration.md"
"OPS.SCAL.104","L2","OPERATE","SCAL","Sensor Management and Calibration","4","Track Sensor Health and Drift","Missionized","sensor_management_and_calibration.md"
"OPS.SOPS.001","L1","OPERATE","SOPS","Sensor Operations","","","Missionized","sensor_operations.md"
"OPS.SOPS.101","L2","OPERATE","SOPS","Sensor Operations","1","Plan Sensor Collection Tasks","Missionized","sensor_operations.md"
"OPS.SOPS.102","L2","OPERATE","SOPS","Sensor Operations","2","Control Sensor Modes and Pointing","Missionized","sensor_operations.md"
"OPS.SOPS.103","L2","OPERATE","SOPS","Sensor Operations","3","Monitor Sensor Performance and Availability","Missionized","sensor_operations.md"
"OPS.SOPS.104","L2","OPERATE","SOPS","Sensor Operations","4","Record Collection Metadata","Missionized","sensor_operations.md"
"OPS.SOPS.105","L2","OPERATE","SOPS","Sensor Operations","5","Manage Mission Sensor Suite Operation","Missionized","sensor_operations.md"
"OPS.SOPS.106","L2","OPERATE","SOPS","Sensor Operations","6","Manage Mission Data Link Reception and Transmission","Missionized","sensor_operations.md"
"OPS.WRLS.001","L1","OPERATE","WRLS","Weapon Release Point Management","","","Missionized","weapon_release_point_management.md"
"OPS.WRLS.101","L2","OPERATE","WRLS","Weapon Release Point Management","1","Compute Candidate Release Solutions","Missionized","weapon_release_point_management.md"
"OPS.WRLS.102","L2","OPERATE","WRLS","Weapon Release Point Management","2","Validate Release Constraints and Rules","Missionized","weapon_release_point_management.md"
"OPS.WRLS.103","L2","OPERATE","WRLS","Weapon Release Point Management","3","Track Release-Point Updates from Sensor/Fusion Inputs","Missionized","weapon_release_point_management.md"
"OPS.WRLS.104","L2","OPERATE","WRLS","Weapon Release Point Management","4","Annunciate Release Authorization State","Missionized","weapon_release_point_management.md"
"OPS.CABN.001","L1","OPERATE","CABN","Cabin Operations Management","","","Passenger","cabin_operations_management.md"
"OPS.CABN.101","L2","OPERATE","CABN","Cabin Operations Management","1","Cabin System Status Management","Passenger","cabin_operations_management.md"
"OPS.CABN.102","L2","OPERATE","CABN","Cabin Operations Management","2","Cabin Crew Operational Coordination","Passenger","cabin_operations_management.md"
"OPS.CABN.103","L2","OPERATE","CABN","Cabin Operations Management","3","Passenger Safety and Announcement Support","Passenger","cabin_operations_management.md"
"OPS.CABN.104","L2","OPERATE","CABN","Cabin Operations Management","4","Disturbance and Incident Handling Support","Passenger","cabin_operations_management.md"
"OPS.COMS.001","L1","OPERATE","COMS","Commercial and Service Coordination","","","Passenger","commercial_and_service_coordination.md"
"OPS.COMS.101","L2","OPERATE","COMS","Commercial and Service Coordination","1","Ground-Service Coordination","Passenger","commercial_and_service_coordination.md"
"OPS.COMS.102","L2","OPERATE","COMS","Commercial and Service Coordination","2","Turnaround and Readiness Synchronization","Passenger","commercial_and_service_coordination.md"
"OPS.COMS.103","L2","OPERATE","COMS","Commercial and Service Coordination","3","Passenger-Service Data Exchange","Passenger","commercial_and_service_coordination.md"
"OPS.COMS.104","L2","OPERATE","COMS","Commercial and Service Coordination","4","Operational Event Reporting","Passenger","commercial_and_service_coordination.md"
"OPS.PAX.001","L1","OPERATE","PAX","Passenger Services and IFEC","","","Passenger","passenger_services_and_ifec.md"
"OPS.PAX.101","L2","OPERATE","PAX","Passenger Services and IFEC","1","Manage Passenger Connectivity Services","Passenger","passenger_services_and_ifec.md"
"OPS.PAX.102","L2","OPERATE","PAX","Passenger Services and IFEC","2","Manage Inflight Entertainment Content","Passenger","passenger_services_and_ifec.md"
"OPS.PAX.103","L2","OPERATE","PAX","Passenger Services and IFEC","3","Enforce Service Domain Isolation","Passenger","passenger_services_and_ifec.md"
"OPS.PAX.104","L2","OPERATE","PAX","Passenger Services and IFEC","4","Monitor Passenger-Service Performance","Passenger","passenger_services_and_ifec.md"
"OPS.MAINT.001","L1","OPERATE","MAINT","Onboard Maintenance Coordination and Assurance","","","Both","onboard_maintenance_coordination_and_assurance.md"
"OPS.MAINT.101","L2","OPERATE","MAINT","Onboard Maintenance Coordination and Assurance","1","Correlate Onboard Health Alerts to Maintenance Actions","Both","onboard_maintenance_coordination_and_assurance.md"
"OPS.MAINT.102","L2","OPERATE","MAINT","Onboard Maintenance Coordination and Assurance","2","Package and Uplink Maintenance Data to Offboard Systems","Both","onboard_maintenance_coordination_and_assurance.md"
"OPS.MAINT.103","L2","OPERATE","MAINT","Onboard Maintenance Coordination and Assurance","3","Ingest and Validate Offboard Maintenance Directives","Both","onboard_maintenance_coordination_and_assurance.md"
"OPS.MAINT.104","L2","OPERATE","MAINT","Onboard Maintenance Coordination and Assurance","4","Coordinate Predictive Maintenance Constraints with Flight and Propulsion Functions","Both","onboard_maintenance_coordination_and_assurance.md"
"OPS.OMMS.001","L1","OPERATE","OMMS","Offboard Maintenance Management System Integration","","","Both","offboard_maintenance_management_system_integration.md"
"OPS.OMMS.101","L2","OPERATE","OMMS","Offboard Maintenance Management System Integration","1","Receive Onboard Maintenance and Health Data","Both","offboard_maintenance_management_system_integration.md"
"OPS.OMMS.102","L2","OPERATE","OMMS","Offboard Maintenance Management System Integration","2","Issue Maintenance Directives and Configuration Actions","Both","offboard_maintenance_management_system_integration.md"
"OPS.OMMS.103","L2","OPERATE","OMMS","Offboard Maintenance Management System Integration","3","Publish Dispatch and Readiness Assessments","Both","offboard_maintenance_management_system_integration.md"
"OPS.OMMS.104","L2","OPERATE","OMMS","Offboard Maintenance Management System Integration","4","Track Fleet Reliability Trends and Escalation Events","Both","offboard_maintenance_management_system_integration.md"
