inference_id,entry_id,entry_type,l3_inferred_function,l3_confidence,l2_function_id,l2_function_name,l1_function_id,l1_function_name,l0_domain,l4_component_candidate,l4_component_confidence,l5_implementation_anchor,l5_anchor_type,flow_required,flow_interface_id,endpoint_source,endpoint_sink,l2_child_count_in_l1,l1_child_count_in_l0,abstraction_check,inference_status,notes
"INF-011","FM-009","failure_mode","Sensor operation coverage loss guard","medium","OPS.SOPS.104","Track Coverage and Availability","OPS.SOPS.001","Sensor Operations","OPERATE","Coverage assurance monitor","low","Coverage-loss guard logic","software","yes","IF-128","coverage_state_source","coverage_alert_sink","6","10","pass","pending","T4 expansion seed"
"INF-012","FM-009","failure_mode","Release-readiness inhibit under sensor uncertainty","medium","OPS.WRLS.103","Validate Weapon Release Constraints","OPS.WRLS.001","Weapon Release Point Management","OPERATE","Release-constraint validator","low","Release inhibit rule engine","software","yes","IF-136","release_constraint_source","release_authorization_sink","4","10","pass","pending","T4 expansion seed"
"INF-013","FM-007","failure_mode","Cabin pressurization service impact propagation","medium","OPS.CABN.102","Coordinate Cabin Crew and Operational Services","OPS.CABN.001","Cabin Operations Management","OPERATE","Cabin environment service controller","low","Cabin service state evaluator","software","yes","","cabin_env_source","cabin_service_sink","4","10","pass","pending","T5 batch expansion"
"INF-014","FM-005","failure_mode","Electrical reconfiguration advisory propagation","medium","AVI.ELEC.104","Detect Faults and Reconfigure Distribution Paths","AVI.ELEC.001","Electrical Power Generation and Distribution","AVIATE","Power topology reconfiguration coordinator","low","Bus reconfiguration state logic","software","yes","","elec_fault_source","load_shed_sink","5","8","pass","pending","Expanded batch"
"INF-015","FM-006","failure_mode","Hydraulic containment command propagation","medium","AVI.HYDR.104","Detect and Isolate Hydraulic Leaks and Faults","AVI.HYDR.001","Hydraulic Services","AVIATE","Hydraulic fault containment manager","low","Hydraulic isolation decision logic","software","yes","","hydr_fault_source","hydr_isolation_sink","4","8","pass","pending","Expanded batch"
"INF-016","FM-008","failure_mode","Datalink payload integrity enforcement chain","medium","COM.DLNK.102","Message Serialization and Validation","COM.DLNK.001","Data Link and Network Exchange","COMMUNICATE","Datalink serialization integrity monitor","medium","Payload validation guard","software","yes","","dlnk_payload_source","dlnk_validation_sink","7","3","pass","pending","Expanded batch"
"INF-017","HZ-030","hazard","Guidance conformance hazard trigger chain","medium","NAV.GUID.104","Monitor Trajectory Conformance and Alert","NAV.GUID.001","Guidance and Trajectory Management","NAVIGATE","Guidance conformance monitor stack","low","Conformance hazard threshold logic","software","yes","","guidance_conformance_source","guidance_hazard_sink","4","4","pass","pending","Expanded batch"
"INF-018","FM-009","failure_mode","Calibration evidence publishing integrity","medium","OPS.SCAL.104","Publish Calibration Status and Integrity Evidence","OPS.SCAL.001","Sensor Management and Calibration","OPERATE","Calibration assurance publisher","low","Calibration evidence emitter","software","yes","","scal_evidence_source","fusion_profile_sink","4","10","pass","pending","T4 T5 bridge"
"INF-019","FM-009","failure_mode","Fusion anomaly escalation path","medium","OPS.SFUS.104","Assess Fusion Confidence and Trigger Recovery Paths","OPS.SFUS.001","Sensor Correlation and Fusion","OPERATE","Fusion anomaly escalation monitor","low","Fusion anomaly watchdog","software","yes","","fusion_anomaly_source","sensor_ops_sink","5","10","pass","pending","Expanded batch"
"INF-020","FM-009","failure_mode","Sensor operation health fallback path","medium","OPS.SOPS.106","Publish Sensor Operations Health and Compliance Status","OPS.SOPS.001","Sensor Operations","OPERATE","Sensor operations fallback manager","low","Sensor fallback rules engine","software","yes","","sensor_health_source","mission_ops_sink","6","10","pass","pending","Expanded batch"
"INF-021","FM-009","failure_mode","Release execution inhibition under uncertainty","medium","OPS.WRLS.104","Publish Release Point and Execution Assurance Status","OPS.WRLS.001","Weapon Release Point Management","OPERATE","Release execution interlock monitor","low","Release interlock policy engine","software","yes","","release_exec_source","mission_guard_sink","4","10","pass","pending","Expanded batch"
"INF-022","FM-008","failure_mode","Mission coordination dispatch integrity chain","medium","COM.INTC.103","Deliver and Synchronize Internal Mission Coordination Data","COM.INTC.001","Internal Coordination and Mission Communications","COMMUNICATE","Mission dispatch integrity monitor","medium","Coordination dispatch guard","software","yes","","intc_dispatch_source","intc_delivery_sink","4","3","pass","pending","Expanded batch"
"INF-023","FM-004","failure_mode","Sensor spoofing exclusion propagation","medium","NAV.SENS.103","Detect Spoofing and Jamming Conditions","NAV.SENS.001","Navigation Sensor Management","NAVIGATE","Navigation spoofing exclusion monitor","low","Sensor exclusion logic","software","yes","","spoofing_alert_source","nav_source_selector_sink","4","4","pass","pending","Expanded batch"
"INF-024","FM-003","failure_mode","Guidance target correction under air data uncertainty","medium","NAV.GUID.103","Publish Guidance Targets","NAV.GUID.001","Guidance and Trajectory Management","NAVIGATE","Guidance target correction stack","low","Guidance correction logic","software","yes","","guidance_target_source","autopilot_target_sink","4","4","pass","pending","Expanded batch"
"INF-025","FM-001","failure_mode","Propulsion limit override protection chain","medium","AVI.PROP.104","Protection and Limit Management","AVI.PROP.001","Propulsion","AVIATE","Propulsion protection override monitor","low","Thrust protection guard logic","software","yes","","prop_limit_source","thrust_cmd_sink","5","8","pass","pending","Expanded batch"
"INF-026","FM-002","failure_mode","Envelope protection intervention cascade","medium","AVI.STAB.104","Protect Flight Envelope and Apply Override Constraints","AVI.STAB.001","Flight Stability and Maneuvering","AVIATE","Envelope intervention monitor","low","Control envelope guard logic","software","yes","","envelope_event_source","control_law_sink","5","8","pass","pending","Expanded batch"
"INF-027","HZ-065","hazard","Ground readiness interlock to commercial services","medium","OPS.COMS.102","Turnaround and Readiness Synchronization","OPS.COMS.001","Commercial and Service Coordination","OPERATE","Ground readiness service interlock coordinator","low","Turnaround interlock logic","software","yes","","ground_state_source","service_authorization_sink","4","10","pass","pending","Expanded batch"
"INF-028","FM-008","failure_mode","Air ground comm fallback integrity chain","medium","COM.AGND.103","Communication Availability and Fallback Management","COM.AGND.001","Air-Ground Operational Communications","COMMUNICATE","Air ground fallback integrity monitor","medium","Comms fallback watchdog","software","yes","","agnd_state_source","agnd_fallback_sink","5","3","pass","pending","Expanded batch"
"INF-029","FM-007","failure_mode","Cabin isolation escalation to passenger services","medium","OPS.CABN.103","Enforce Service Domain and Cabin Isolation Policies","OPS.CABN.001","Cabin Operations Management","OPERATE","Cabin isolation escalation manager","low","Cabin isolation escalation logic","software","yes","IF-141","cabn_isolation_source","pax_service_guard_sink","4","10","pass","pending","T5 batch expansion"
"INF-030","FM-008","failure_mode","Passenger service isolation verification chain","medium","OPS.PAX.103","Enforce Service Domain Isolation","OPS.PAX.001","Passenger Services and IFEC","OPERATE","Passenger isolation verification manager","low","Passenger isolation verification logic","software","yes","IF-148","pax_isolation_source","pax_perf_sink","4","10","pass","pending","T5 batch expansion"
"INF-031","FM-008","failure_mode","Commercial service exchange audit integrity","medium","OPS.COMS.104","Operational Event Reporting","OPS.COMS.001","Commercial and Service Coordination","OPERATE","Commercial exchange audit monitor","low","Service exchange audit logic","software","yes","IF-144","coms_exchange_source","ops_audit_sink","4","10","pass","pending","T5 batch expansion"
"INF-032","FM-009","failure_mode","Mission planning guard under sensor quality loss","medium","OPS.MSN.102","Manage Dynamic Mission Replanning Under Operational and Threat Constraints","OPS.MSN.001","Mission Management","OPERATE","Mission guard planner under degraded sensors","low","Mission guard fallback rules","software","yes","","msn_planning_source","mission_authorization_sink","4","10","pass","pending","Expanded batch"
