interface_id,producer,producer_function_id,consumer,consumer_function_id,data_object,rate_trigger,assurance_level,gate_evidence_fields,evidence_artifact_refs,review_checkpoint_refs,gate_crosswalk_id,source_doc
IF-011,Data Integrity and Domain Isolation,AVI.INTG.001,Flight Management System,NAV.GUID.001,integrity_confidence_status,"validation completion; integrity degradation; policy violation",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-TRUST-CONFIG;EA-MONITORING;EA-VV-TEST;EA-THREAT-MODEL","CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G5-THREAT;CP-G9-READINESS",GR-INT-H,01_functional_decomposition/aviate/essential_flight_services/data_integrity_and_domain_isolation.md
IF-012,Passenger Services and IFEC,OPS.PAX.001,Data Integrity and Domain Isolation,AVI.INTG.001,service_domain_boundary_event,"network policy violation; update event; monitoring interval",moderate,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-TRUST-CONFIG;EA-LOGGING;EA-VV-TEST","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-PAX-M,01_functional_decomposition/operate/passenger_transport/passenger_services_and_ifec.md
IF-013,Navigation Sensor Management,NAV.SENS.001,Guidance and Trajectory Management,NAV.GUID.001,position_state_vector,"sensor update cycle; estimator refresh",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SENSOR-VALIDATION;EA-VV-TEST;EA-MONITORING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-NAV-H,01_functional_decomposition/navigate/navigation_sensor_management.md
IF-014,Navigation Sensor Management,NAV.SENS.001,Route and Waypoint Management,NAV.RTE.001,navigation_integrity_status,"spoofing indicator; uncertainty threshold exceedance",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SENSOR-VALIDATION;EA-THREAT-MODEL;EA-VV-TEST","CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G5-THREAT;CP-G9-READINESS",GR-NAV-H,01_functional_decomposition/navigate/navigation_sensor_management.md
IF-015,Route Planning and Replanning,NAV.PLAN.001,Route and Waypoint Management,NAV.RTE.001,candidate_route_plan,"new mission phase; contingency trigger; diversion decision",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-ROUTE-RULES;EA-CONOPS;EA-VV-TEST","CP-G0-SCOPE;CP-G1-OWNER;CP-G4-VERIFICATION;CP-G9-READINESS",GR-NAV-H,01_functional_decomposition/navigate/route_planning_and_replanning.md
IF-016,Guidance and Trajectory Management,NAV.GUID.001,Flight Guidance and Automation,AVI.GUID.001,guidance_profile,"trajectory recompute; mode transition",very_high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SAFETY-CASE;EA-VV-TEST;EA-SIM-RESULTS","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G7-SAFETY;CP-G9-READINESS",GR-CTRL-VH,01_functional_decomposition/navigate/guidance_and_trajectory_management.md
IF-017,Flight Guidance and Automation,AVI.GUID.001,Flight Stability and Maneuvering,AVI.STAB.001,flight_control_command_request,"mode capture; autopilot command update",very_high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SAFETY-CASE;EA-VV-TEST;EA-SIM-RESULTS","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G7-SAFETY;CP-G9-READINESS",GR-CTRL-VH,01_functional_decomposition/aviate/flight_guidance_and_automation.md
IF-018,Electrical Power Generation and Distribution,AVI.ELEC.001,Flight Stability and Maneuvering,AVI.STAB.001,power_bus_availability,"bus reconfiguration; load-shed event; periodic status",very_high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SAFETY-CASE;EA-VV-TEST;EA-MONITORING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G7-SAFETY;CP-G9-READINESS",GR-CTRL-VH,01_functional_decomposition/aviate/essential_flight_services/electrical_power_generation_and_distribution.md
IF-019,Hydraulic Services,AVI.HYDR.001,Flight Stability and Maneuvering,AVI.STAB.001,hydraulic_pressure_status,"pressure change; leak detection; periodic status",very_high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SAFETY-CASE;EA-VV-TEST;EA-MONITORING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G7-SAFETY;CP-G9-READINESS",GR-CTRL-VH,01_functional_decomposition/aviate/essential_flight_services/hydraulic_services.md
IF-020,Propulsion,AVI.PROP.001,Flight Stability and Maneuvering,AVI.STAB.001,thrust_availability_status,"thrust command change; propulsion fault; periodic status",very_high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SAFETY-CASE;EA-VV-TEST;EA-MONITORING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G7-SAFETY;CP-G9-READINESS",GR-CTRL-VH,01_functional_decomposition/aviate/essential_flight_services/propulsion.md
IF-021,Aircraft Health and Condition Management,AVI.HLTH.001,Flight Guidance and Automation,AVI.GUID.001,flight_control_health_alert,"fault classification; degradation threshold exceedance",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-MONITORING;EA-VV-TEST;EA-LOGGING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-NAV-H,01_functional_decomposition/aviate/essential_flight_services/aircraft_health_and_condition_management.md
IF-022,Aircraft Health and Condition Management,AVI.HLTH.001,Guidance and Trajectory Management,NAV.GUID.001,navigation_health_alert,"fault classification; degraded-state entry",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-MONITORING;EA-VV-TEST;EA-LOGGING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-NAV-H,01_functional_decomposition/aviate/essential_flight_services/aircraft_health_and_condition_management.md
IF-023,Air-Ground Operational Communications,COM.AGND.001,Route Planning and Replanning,NAV.PLAN.001,atc_clearance_update,"clearance uplink; route restriction notice",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-TRUST-CONFIG;EA-LOGGING;EA-VV-TEST","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-COM-H,01_functional_decomposition/communicate/air_ground_operational_communications.md
IF-024,Data Link and Network Exchange,COM.DLNK.001,Mission Management,OPS.MSN.001,mission_message_package,"mission data receipt; tasking update",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-TRUST-CONFIG;EA-THREAT-MODEL;EA-VV-TEST","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G4-VERIFICATION;CP-G5-THREAT;CP-G9-READINESS",GR-MSN-H,01_functional_decomposition/communicate/data_link_and_network_exchange.md
IF-025,Internal Coordination and Mission Communications,COM.INTC.001,Mission Management,OPS.MSN.001,crew_coordination_event,"crew input; mission timeline event",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-CONOPS;EA-VV-TEST;EA-LOGGING","CP-G0-SCOPE;CP-G1-OWNER;CP-G4-VERIFICATION;CP-G9-READINESS",GR-MSN-H,01_functional_decomposition/communicate/internal_coordination_and_mission_communications.md
IF-026,Internal Coordination and Mission Communications,COM.INTC.001,Mission Product and Dissemination Management,OPS.MDIS.001,dissemination_request,"mission event; product readiness signal",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-CONOPS;EA-VV-TEST;EA-LOGGING","CP-G0-SCOPE;CP-G1-OWNER;CP-G4-VERIFICATION;CP-G9-READINESS",GR-MSN-H,01_functional_decomposition/communicate/internal_coordination_and_mission_communications.md
IF-027,Sensor Operations,OPS.SOPS.001,Sensor Correlation and Fusion,OPS.SFUS.001,sensor_observation_set,"collection cycle; sensor mode change",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SENSOR-VALIDATION;EA-VV-TEST;EA-MONITORING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-MSN-H,01_functional_decomposition/operate/missionized_operations/sensor_operations.md
IF-028,Sensor Management and Calibration,OPS.SCAL.001,Sensor Operations,OPS.SOPS.001,sensor_configuration_profile,"calibration completion; baseline change",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-CALIBRATION-RECORD;EA-VV-TEST;EA-CHANGE-LOG","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-MSN-H,01_functional_decomposition/operate/missionized_operations/sensor_management_and_calibration.md
IF-029,Sensor Correlation and Fusion,OPS.SFUS.001,Mission Management,OPS.MSN.001,fused_track_picture,"fusion refresh; confidence-state change",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-THREAT-MODEL;EA-VV-TEST;EA-MONITORING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G5-THREAT;CP-G9-READINESS",GR-MSN-H,01_functional_decomposition/operate/missionized_operations/sensor_correlation_and_fusion.md
IF-030,Mission Management,OPS.MSN.001,Mission Product and Dissemination Management,OPS.MDIS.001,mission_product_priority,"priority change; mission retask event",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-CONOPS;EA-VV-TEST;EA-CHANGE-LOG","CP-G0-SCOPE;CP-G1-OWNER;CP-G4-VERIFICATION;CP-G9-READINESS",GR-MSN-H,01_functional_decomposition/operate/missionized_operations/mission_management.md
IF-031,Mission Product and Dissemination Management,OPS.MDIS.001,Data Link and Network Exchange,COM.DLNK.001,mission_product_package,"product release event; dissemination schedule",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-HANDLING-RULES;EA-VV-TEST;EA-LOGGING","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-MSN-H,01_functional_decomposition/operate/missionized_operations/mission_product_and_dissemination_management.md
IF-032,Weapon Release Point Management,OPS.WRLS.001,Mission Management,OPS.MSN.001,weapon_release_solution_status,"sensor update; authorization-state change",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-THREAT-MODEL;EA-VV-TEST;EA-SAFETY-CASE","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G5-THREAT;CP-G7-SAFETY;CP-G9-READINESS",GR-MSN-H,01_functional_decomposition/operate/missionized_operations/weapon_release_point_management.md
IF-033,Cabin Operations Management,OPS.CABN.001,Passenger Services and IFEC,OPS.PAX.001,cabin_service_state,"cabin event; service-mode update",moderate,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-CONOPS;EA-VV-TEST;EA-LOGGING","CP-G0-SCOPE;CP-G1-OWNER;CP-G4-VERIFICATION;CP-G9-READINESS",GR-PAX-M,01_functional_decomposition/operate/passenger_transport/cabin_operations_management.md
IF-034,Commercial and Service Coordination,OPS.COMS.001,Air-Ground Operational Communications,COM.AGND.001,turnaround_coordination_update,"gate/turnaround status change; dispatch coordination",moderate,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-TRUST-CONFIG;EA-VV-TEST;EA-LOGGING","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-PAX-M,01_functional_decomposition/operate/passenger_transport/commercial_and_service_coordination.md
IF-035,Passenger Services and IFEC,OPS.PAX.001,Commercial and Service Coordination,OPS.COMS.001,passenger_service_demand_event,"service request; IFEC usage state change",moderate,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-CONOPS;EA-VV-TEST;EA-LOGGING","CP-G0-SCOPE;CP-G1-OWNER;CP-G4-VERIFICATION;CP-G9-READINESS",GR-PAX-M,01_functional_decomposition/operate/passenger_transport/passenger_services_and_ifec.md
IF-036,Passenger Services and IFEC,OPS.PAX.001,Data Integrity and Domain Isolation,AVI.INTG.001,passenger_domain_boundary_event,"policy violation; anomaly detection; update event",moderate,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-TRUST-CONFIG;EA-LOGGING;EA-VV-TEST","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-PAX-M,01_functional_decomposition/operate/passenger_transport/passenger_services_and_ifec.md
IF-037,Data Integrity and Domain Isolation,AVI.INTG.001,Internal Coordination and Mission Communications,COM.INTC.001,boundary_enforcement_status,"boundary-policy evaluation; violation event",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-TRUST-CONFIG;EA-MONITORING;EA-VV-TEST;EA-LOGGING","CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-INT-H,01_functional_decomposition/aviate/essential_flight_services/data_integrity_and_domain_isolation.md
IF-038,Data Integrity and Domain Isolation,AVI.INTG.001,Passenger Services and IFEC,OPS.PAX.001,isolation_compliance_status,"monitoring cycle; policy exception",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-TRUST-CONFIG;EA-MONITORING;EA-VV-TEST;EA-LOGGING","CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-INT-H,01_functional_decomposition/aviate/essential_flight_services/data_integrity_and_domain_isolation.md
IF-039,Route and Waypoint Management,NAV.RTE.001,Air-Ground Operational Communications,COM.AGND.001,filed_route_amendment_notification,"route change acceptance; alternate activation",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-LOGGING;EA-VV-TEST;EA-CONOPS","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-COM-H,01_functional_decomposition/navigate/route_and_waypoint_management.md
IF-040,Guidance and Trajectory Management,NAV.GUID.001,Air-Ground Operational Communications,COM.AGND.001,trajectory_intent_update,"trajectory change; conformance warning",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-LOGGING;EA-VV-TEST;EA-THREAT-MODEL","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G5-THREAT;CP-G9-READINESS",GR-COM-H,01_functional_decomposition/navigate/guidance_and_trajectory_management.md
IF-041,Propulsion,AVI.PROP.101,Flight Stability and Maneuvering,AVI.STAB.103,thrust_vector_command_status,"thrust command update; authority arbitration; propulsion mode change",very_high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SAFETY-CASE;EA-VV-TEST;EA-MONITORING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G7-SAFETY;CP-G9-READINESS",GR-CTRL-VH,01_functional_decomposition/aviate/essential_flight_services/propulsion.md
IF-042,Flight Guidance and Automation,AVI.GUID.104,Propulsion,AVI.PROP.101,command_authority_limit_profile,"mode transition; limit update; override assertion",very_high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SAFETY-CASE;EA-VV-TEST;EA-THREAT-MODEL","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G5-THREAT;CP-G7-SAFETY;CP-G9-READINESS",GR-CTRL-VH,01_functional_decomposition/aviate/flight_guidance_and_automation.md
IF-043,Guidance and Trajectory Management,NAV.GUID.103,Flight Guidance and Automation,AVI.GUID.102,guidance_target_vector,"guidance publish cycle; trajectory replanning; conformance correction",very_high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SAFETY-CASE;EA-VV-TEST;EA-SIM-RESULTS","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G7-SAFETY;CP-G9-READINESS",GR-CTRL-VH,01_functional_decomposition/navigate/guidance_and_trajectory_management.md
IF-044,Navigation Sensor Management,NAV.SENS.104,Guidance and Trajectory Management,NAV.GUID.103,validated_navigation_state_vector,"sensor update cycle; estimator refresh; integrity re-evaluation",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SENSOR-VALIDATION;EA-VV-TEST;EA-MONITORING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-NAV-H,01_functional_decomposition/navigate/navigation_sensor_management.md
IF-045,Data Link and Network Exchange,COM.DLNK.103,Air-Ground Operational Communications,COM.AGND.103,link_health_state,"link degradation; recovery event; periodic supervision",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-TRUST-CONFIG;EA-VV-TEST;EA-MONITORING","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-COM-H,01_functional_decomposition/communicate/data_link_and_network_exchange.md
IF-046,Air-Ground Operational Communications,COM.AGND.103,Mission Management,OPS.MSN.104,communications_fallback_advisory,"channel occupancy threshold; fallback transition; congestion event",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-TRUST-CONFIG;EA-VV-TEST;EA-LOGGING","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-COM-H,01_functional_decomposition/communicate/air_ground_operational_communications.md
IF-047,Commercial and Service Coordination,OPS.COMS.102,Air-Ground Operational Communications,COM.AGND.102,turnaround_release_window,"ground readiness milestone; dispatch release window update",moderate,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-TRUST-CONFIG;EA-VV-TEST;EA-LOGGING","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-PAX-M,01_functional_decomposition/operate/passenger_transport/commercial_and_service_coordination.md
