"exception_id","interface_id","producer_function_id","consumer_function_id","producer_domain","consumer_domain","level_pair","exception_class","trust_boundary_classification","rationale","gate_targets","gate_evidence_refs","status","disposition","risk_acceptance_id","mitigation_due_date","approved_by","approval_date","threat_model_row_id","vv_test_case_ids","icd_section_ref","schema_version"
"EXC-011","IF-023","COM.AGND.001","NAV.PLAN.001","COMMUNICATE","NAVIGATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-023","VV-IF-023-A;VV-IF-023-B","ICD-023.1","v2.0"
"EXC-012","IF-024","COM.DLNK.001","OPS.MSN.001","COMMUNICATE","OPERATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-024","VV-IF-024-A;VV-IF-024-B","ICD-024.1","v2.0"
"EXC-013","IF-025","COM.INTC.001","OPS.MSN.001","COMMUNICATE","OPERATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-025","VV-IF-025-A;VV-IF-025-B","ICD-025.1","v2.0"
"EXC-014","IF-026","COM.INTC.001","OPS.MDIS.001","COMMUNICATE","OPERATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-026","VV-IF-026-A;VV-IF-026-B","ICD-026.1","v2.0"
"EXC-015","IF-031","OPS.MDIS.001","COM.DLNK.001","OPERATE","COMMUNICATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-031","VV-IF-031-A;VV-IF-031-B","ICD-031.1","v2.0"
"EXC-016","IF-034","OPS.COMS.001","COM.AGND.001","OPERATE","COMMUNICATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-034","VV-IF-034-A;VV-IF-034-B","ICD-034.1","v2.0"
"EXC-017","IF-036","OPS.PAX.001","AVI.INTG.001","OPERATE","AVIATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-036","VV-IF-036-A;VV-IF-036-B","ICD-036.1","v2.0"
"EXC-018","IF-037","AVI.INTG.001","COM.INTC.001","AVIATE","COMMUNICATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-037","VV-IF-037-A;VV-IF-037-B","ICD-037.1","v2.0"
"EXC-019","IF-038","AVI.INTG.001","OPS.PAX.001","AVIATE","OPERATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-038","VV-IF-038-A;VV-IF-038-B","ICD-038.1","v2.0"
"EXC-020","IF-039","NAV.RTE.001","COM.AGND.001","NAVIGATE","COMMUNICATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-039","VV-IF-039-A;VV-IF-039-B","ICD-039.1","v2.0"
"EXC-021","IF-040","NAV.GUID.001","COM.AGND.001","NAVIGATE","COMMUNICATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-040","VV-IF-040-A;VV-IF-040-B","ICD-040.1","v2.0"
"EXC-022","IF-043","NAV.GUID.103","AVI.GUID.102","NAVIGATE","AVIATE","L2->L2","operational_data_exchange_bridge","TB-DATA-INTERDOMAIN","Cross-domain L2 data exchange required to support end-to-end operational flow across decomposed functions.","G4-VERIFICATION;G9-READINESS","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-LOGGING","open","proposed","","","","","TM-DATA-043","VV-IF-043-A;VV-IF-043-B","ICD-043.1","v2.0"
"EXC-023","IF-046","COM.AGND.103","OPS.MSN.104","COMMUNICATE","OPERATE","L2->L2","operational_data_exchange_bridge","TB-DATA-INTERDOMAIN","Cross-domain L2 data exchange required to support end-to-end operational flow across decomposed functions.","G4-VERIFICATION;G9-READINESS","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-LOGGING","open","proposed","","","","","TM-DATA-046","VV-IF-046-A;VV-IF-046-B","ICD-046.1","v2.0"
"EXC-024","IF-047","OPS.COMS.102","COM.AGND.102","OPERATE","COMMUNICATE","L2->L2","operational_data_exchange_bridge","TB-DATA-INTERDOMAIN","Cross-domain L2 data exchange required to support end-to-end operational flow across decomposed functions.","G4-VERIFICATION;G9-READINESS","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-LOGGING","open","proposed","","","","","TM-DATA-047","VV-IF-047-A;VV-IF-047-B","ICD-047.1","v2.0"
"EXC-025","IF-049","AVI.HLTH.103","OPS.MAINT.101","AVIATE","OPERATE","L2->L2","operational_data_exchange_bridge","TB-MAINTENANCE-OFFBOARD","Cross-domain L2 data exchange required to support end-to-end operational flow across decomposed functions.","G4-VERIFICATION;G9-READINESS","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-LOGGING","open","proposed","","","","","TM-DATA-049","VV-IF-049-A;VV-IF-049-B","ICD-049.1","v2.0"
"EXC-026","IF-050","AVI.HLTH.104","OPS.MAINT.102","AVIATE","OPERATE","L2->L2","operational_data_exchange_bridge","TB-MAINTENANCE-OFFBOARD","Cross-domain L2 data exchange required to support end-to-end operational flow across decomposed functions.","G4-VERIFICATION;G9-READINESS","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-LOGGING","open","proposed","","","","","TM-DATA-050","VV-IF-050-A;VV-IF-050-B","ICD-050.1","v2.0"
"EXC-027","IF-054","OPS.MAINT.104","AVI.PROP.105","OPERATE","AVIATE","L2->L2","operational_data_exchange_bridge","TB-MAINTENANCE-OFFBOARD","Cross-domain L2 data exchange required to support end-to-end operational flow across decomposed functions.","G4-VERIFICATION;G9-READINESS","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-LOGGING","open","proposed","","","","","TM-DATA-054","VV-IF-054-A;VV-IF-054-B","ICD-054.1","v2.0"
"EXC-028","IF-097","COM.DLNK.106","OPS.PAX.101","COMMUNICATE","OPERATE","L2->L2","operational_data_exchange_bridge","TB-PASSENGER-SERVICE","Cross-domain L2 data exchange required to support end-to-end operational flow across decomposed functions.","G4-VERIFICATION;G9-READINESS","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-LOGGING","open","proposed","","","","","TM-DATA-097","VV-IF-097-A;VV-IF-097-B","ICD-097.1","v2.0"
"EXC-029","IF-098","COM.DLNK.107","OPS.COMS.101","COMMUNICATE","OPERATE","L2->L2","operational_data_exchange_bridge","TB-PASSENGER-SERVICE","Cross-domain L2 data exchange required to support end-to-end operational flow across decomposed functions.","G4-VERIFICATION;G9-READINESS","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-LOGGING","open","proposed","","","","","TM-DATA-098","VV-IF-098-A;VV-IF-098-B","ICD-098.1","v2.0"
"EXC-030","IF-149","OPS.PAX.104","COM.DLNK.106","OPERATE","COMMUNICATE","L2->L2","operational_data_exchange_bridge","TB-PASSENGER-SERVICE","Cross-domain L2 data exchange required to support end-to-end operational flow across decomposed functions.","G4-VERIFICATION;G9-READINESS","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-LOGGING","open","proposed","","","","","TM-DATA-149","VV-IF-149-A;VV-IF-149-B","ICD-149.1","v2.0"
