entry_id,entry_type,title,description,effects_or_consequence,source_ids,baseline_status
FM-027,failure_mode,Ice-protection actuation failure,"Anti-ice or de-ice function does not engage or sustain","Aerodynamic degradation and controllability reduction",SRC-FAA-CAST|SRC-SKY-LOCI,seeded
FM-028,failure_mode,Smoke or fire detection false negative in occupied compartments,"Fire or smoke condition is not annunciated in time","Delayed intervention and hazard escalation",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
FM-029,failure_mode,Mission-priority arbitration deadlock,"Competing mission and safety requests are unresolved or unstable","Unsafe command prioritization and flight-task interference",SRC-MIL-1629A|SRC-FAA-AC-1309,seeded
FM-030,failure_mode,Sensor-fusion confidence misclassification,"Fused tracks are over-trusted despite low source quality","Incorrect decision support and tactical or operational error",SRC-NASA-ASRS|SRC-ICAO-ADREP,seeded
HZ-019,hazard,Controlled-airspace deviation from route integrity failure,"Aircraft path diverges from cleared route due integrity faults","Separation risk and compliance exposure",SRC-ICAO-ADREP|SRC-FAA-CAST,seeded
HZ-020,hazard,Unstable approach from automation mode confusion,"Crew and automation mismatch during approach energy-path control","Go-around overload, runway excursion, or LOC-I precursor",SRC-SKY-LOCI|SRC-FAA-CAST,seeded
HZ-021,hazard,Terrain-separation loss from terrain-alert degradation,"Terrain hazard is not recognized in time","Elevated CFIT probability",SRC-SKY-CFIT|SRC-NTSB-CAROL,seeded
HZ-022,hazard,Rejected-takeoff or landing overrun due braking-function degradation,"Stopping capability reduced during high-energy phase","Runway overrun or excursion and structural damage risk",SRC-FAA-RWYSAFE|SRC-SKY-RE,seeded
HZ-023,hazard,Icing-driven controllability hazard from anti-ice functional failure,"Critical surfaces are degraded by icing accumulation","Significant performance and control-margin loss",SRC-FAA-CAST|SRC-SKY-LOCI,seeded
HZ-024,hazard,Cabin smoke or fire incapacitation escalation,"Delayed detection or containment causes crew or passenger impairment","Emergency descent or diversion and potential loss of essential function",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
HZ-025,hazard,Mission-to-flight authority conflict hazard,"Mission priorities interfere with safe-flight authority chain","Unsafe maneuvering decisions and command conflict",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
HZ-026,hazard,Dispatch with latent critical fault due monitoring misclassification,"Degraded system dispatched under false-normal status","In-flight failure manifestation under load or stress",SRC-NTSB-CAROL|SRC-NASA-ASRS,seeded
FM-031,failure_mode,Flight-mode reversion annunciation loss,"Automatic mode downgrade occurs without timely or unambiguous annunciation","Crew executes against wrong control law assumptions",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-032,failure_mode,Lateral and vertical guidance channel split-brain,"Displayed guidance mode indicates coupled state while channels are decoupled","Path tracking divergence and unstable energy-path control",SRC-FAA-AC-1309|SRC-SKY-LOCI,seeded
FM-033,failure_mode,Autopilot engagement with stale trim baseline,"Automation engages using stale trim or bias estimate","Immediate pitch or roll transient and workload spike",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
FM-034,failure_mode,Envelope protection threshold mis-scheduling,"Protection limits are mapped to wrong flight-phase schedule","Late or incorrect intervention near envelope boundaries",SRC-FAA-AC-1309|SRC-EASA-CS25,seeded
FM-035,failure_mode,Control-law gain-set corruption after phase transition,"Gain table switches to an invalid set during mode transition","Pilot-induced oscillation susceptibility and handling-quality degradation",SRC-FAA-AC-1309|SRC-SKY-LOCI,seeded
FM-036,failure_mode,Servo runaway detection timeout,"Runaway actuator detection does not trigger within required window","Escalating attitude excursion before crew recovery action",SRC-EASA-CS25|SRC-FAA-AC-1309,seeded
FM-037,failure_mode,RNAV leg sequencing failure,"Waypoint transition logic advances late early or to wrong leg","Track divergence from cleared procedure",SRC-ICAO-ADREP|SRC-FAA-CAST,seeded
FM-038,failure_mode,Constraint-evaluation logic omission,"Published altitude or speed constraints are not enforced in path computation","Clearance non-compliance and separation margin reduction",SRC-FAA-CAST|SRC-ICAO-ADREP,seeded
FM-039,failure_mode,Navigation integrity alert suppression,"RAIM or equivalent integrity alert is not propagated to crew systems","Invalid position solution used for tactical navigation",SRC-ICAO-ADREP|SRC-NASA-ASRS,seeded
FM-040,failure_mode,Hold and procedure-turn geometry computation error,"Turn radius or timing model is computed from incorrect wind or speed assumptions","Protected airspace boundary exceedance",SRC-FAA-CAST|SRC-ICAO-ADREP,seeded
FM-041,failure_mode,Navigation timebase desynchronization,"Sensor fusion and procedure timing use inconsistent clocks","Sequence and prediction errors across route legs",SRC-NASA-ASRS|SRC-ICAO-ADREP,seeded
FM-042,failure_mode,Baro-VNAV reference mismatch,"Vertical guidance references wrong barometric setting source","Unstable vertical path and altitude bust risk",SRC-FAA-CAST|SRC-NASA-ASRS,seeded
FM-043,failure_mode,Receiver squelch stuck-closed,"Valid incoming transmissions are suppressed by receiver gating","Missed clearances and delayed conflict response",SRC-FAA-AIM-C4S2|SRC-NASA-ASRS,seeded
FM-044,failure_mode,Receiver squelch stuck-open,"Persistent noise masks valid communication content","Message comprehension failures and crew overload",SRC-FAA-AIM-C4S2|SRC-NASA-ASRS,seeded
FM-045,failure_mode,Transponder panel to transmitter state desynchronization,"Displayed code or mode does not match emitted surveillance state","Controller sees incorrect aircraft identity or status",SRC-FAA-AIM-C4S1|SRC-ICAO-ADREP,seeded
FM-046,failure_mode,ADS-B validity flag stuck valid,"Invalid position or velocity data remains flagged as valid for broadcast","False traffic picture and alerting degradation",SRC-FAA-AIM-C4S1|SRC-FAA-CAST,seeded
FM-047,failure_mode,Voice and data clearance channel divergence,"CPDLC or datalink clearance state diverges from active voice clearance","Conflicting execution of route or altitude instructions",SRC-ICAO-ADREP|SRC-NASA-ASRS,seeded
FM-048,failure_mode,Guard frequency monitoring unavailable,"Emergency guard monitoring function is disabled or ineffective","Delayed awareness of emergency traffic and priority coordination",SRC-FAA-AIM-C4S2|SRC-ICAO-ADREP,seeded
HZ-027,hazard,Automation surprise during critical phase,"Unannounced or misunderstood control-mode transition occurs in high-workload segment","Loss of stabilised path criteria and LOC-I precursor",SRC-FAA-AC-1309|SRC-SKY-LOCI,seeded
HZ-028,hazard,Guidance-law mismatch hazard,"Displayed and active guidance laws diverge during coupled operations","Incorrect pilot intervention timing and path destabilization",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
HZ-029,hazard,Runaway control excursion before detection,"Actuator runaway grows beyond recoverable margins prior to alert","Severe attitude upset and high structural load exposure",SRC-EASA-CS25|SRC-FAA-AC-1309,seeded
HZ-030,hazard,Procedure containment loss in terminal airspace,"Navigation computation fault drives aircraft outside protected procedure volume","Terrain and traffic conflict exposure",SRC-ICAO-ADREP|SRC-FAA-CAST,seeded
HZ-031,hazard,Altitude and speed restriction non-compliance hazard,"Constraint processing fault causes deviation from cleared profile","Separation reduction and ATC intervention demand",SRC-FAA-CAST|SRC-ICAO-ADREP,seeded
HZ-032,hazard,Invalid navigation integrity acceptance hazard,"Crew and automation continue with invalid position integrity state","Controlled-airspace deviation and CFIT precursor conditions",SRC-ICAO-ADREP|SRC-SKY-CFIT,seeded
HZ-033,hazard,Surveillance truth mismatch hazard,"Emitted surveillance identity or validity differs from cockpit indication","Controller and crew operate on inconsistent traffic identity assumptions",SRC-FAA-AIM-C4S1|SRC-ICAO-ADREP,seeded
HZ-034,hazard,Clearance channel divergence hazard,"Voice and datalink clearance states conflict without reconciliation","Execution of contradictory clearances and conflict-risk increase",SRC-ICAO-ADREP|SRC-NASA-ASRS,seeded
HZ-035,hazard,Emergency channel awareness loss,"Guard monitoring failure prevents timely awareness of distress traffic","Delayed emergency coordination and hazard response",SRC-FAA-AIM-C4S2|SRC-FAA-CAST,seeded
FM-049,failure_mode,Hydraulic accumulator precharge loss,"Stored pressure reserve is unavailable for transient demand","Momentary control and braking authority shortfall",SRC-EASA-CS25|SRC-MIL-1629A,seeded
FM-050,failure_mode,Brake-by-wire command dropout,"Brake command path intermittently opens under vibration or load","Inconsistent deceleration and longer stopping distance",SRC-FAA-RWYSAFE|SRC-EASA-CS25,seeded
FM-051,failure_mode,Anti-skid wheel-speed disagreement not detected,"Conflicting wheel-speed channels are accepted without fault flagging","Wheel lockup risk and directional instability",SRC-FAA-RWYSAFE|SRC-SKY-RE,seeded
FM-052,failure_mode,Parking brake release logic stuck engaged,"Ground-release command does not propagate to brake actuator state","Taxi thrust increase and tire or brake overheat",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
FM-053,failure_mode,Spoiler-brake interlock failure,"Ground spoiler deployment is not coordinated with braking logic","Reduced wheel loading and degraded stopping performance",SRC-FAA-RWYSAFE|SRC-SKY-RE,seeded
FM-054,failure_mode,Nose-wheel steering authority oscillation,"Steering control loop alternates between competing gain states","Directional control excursions on rollout or taxi",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
FM-055,failure_mode,Hydraulic leak isolation valve fails to close,"Isolation command fails and pressure loss propagates across circuits","Progressive loss of powered controls",SRC-EASA-CS25|SRC-MIL-1629A,seeded
FM-056,failure_mode,Brake temperature sensor common-mode bias,"Thermal sensors under-report true brake energy state","Undetected overheating and brake damage progression",SRC-FAA-RWYSAFE|SRC-EASA-CS25,seeded
FM-057,failure_mode,Autobrake disarm condition false positive,"Autobrake logic exits armed state despite valid engagement conditions","Unexpected manual takeover during high workload",SRC-FAA-RWYSAFE|SRC-NASA-ASRS,seeded
FM-058,failure_mode,Rejected-takeoff brake schedule misapplication,"RTO deceleration profile references incorrect weight or speed bin","Insufficient stop margin after abort",SRC-FAA-RWYSAFE|SRC-SKY-RE,seeded
FM-059,failure_mode,Wing anti-ice valve stuck closed,"Commanded anti-ice flow does not reach wing surfaces","Rapid ice accretion and lift degradation",SRC-FAA-CAST|SRC-SKY-LOCI,seeded
FM-060,failure_mode,Wing anti-ice valve stuck open,"Continuous anti-ice bleed demand exceeds expected thermal schedule","Performance penalty and engine margin reduction",SRC-FAA-CAST|SRC-EASA-CS25,seeded
FM-061,failure_mode,Engine inlet anti-ice demand misclassification,"Icing threat state is incorrectly classified as non-critical","Engine icing susceptibility and thrust disturbance",SRC-FAA-CAST|SRC-NASA-ASRS,seeded
FM-062,failure_mode,Ice detector false negative in mixed-phase precipitation,"Sensor fails to detect icing onset in mixed conditions","Delayed anti-ice response and contamination growth",SRC-SKY-WINDSHEAR|SRC-FAA-CAST,seeded
FM-063,failure_mode,De-ice cycle timing drift,"Cycle period drifts beyond certified envelope under cold soak","Residual ice accumulation across cycles",SRC-FAA-CAST|SRC-EASA-CS25,seeded
FM-064,failure_mode,Weather radar attenuation compensation failure,"Heavy precipitation attenuation is not compensated in hazard display","Convective core penetration due false-safe picture",SRC-NASA-ASRS|SRC-ICAO-ADREP,seeded
FM-065,failure_mode,Turbulence penetration speed advisory miscompute,"Advisory speed is computed from stale mass or atmospheric model","Structural load exceedance risk in turbulence",SRC-NASA-ASRS|SRC-FAA-CAST,seeded
FM-066,failure_mode,Windshear escape guidance unavailable,"Escape command logic is unavailable at detection time","Delayed escape maneuver and energy deficit",SRC-SKY-WINDSHEAR|SRC-FAA-CAST,seeded
FM-067,failure_mode,Pitot-static heating zone partial failure,"One or more probe heating zones fail without full fault annunciation","Airspeed reliability degradation in icing",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
FM-068,failure_mode,Icing contamination model stale after hold,"Hold-duration contamination estimate is not refreshed after route changes","Underestimated decontamination and anti-ice demand",SRC-FAA-CAST|SRC-NASA-ASRS,seeded
FM-069,failure_mode,Mission command queue starvation of safety-critical task,"Mission queue policy delays or blocks safety-priority actions","Safety function latency beyond operational tolerance",SRC-MIL-1629A|SRC-FAA-AC-1309,seeded
FM-070,failure_mode,Rules-of-engagement constraint set not loaded,"Expected authority and engagement bounds are absent at activation","Unsafe mission command acceptance window",SRC-MIL-1629A|SRC-ICAO-ADREP,seeded
FM-071,failure_mode,Geofence enforcement bypass during replanning,"Route replanner applies path update without boundary guard checks","Unauthorized entry into restricted volume",SRC-ICAO-ADREP|SRC-FAA-CAST,seeded
FM-072,failure_mode,Payload control loop induces flight-control interference,"Mission payload commands introduce coupling into flight-control channels","Unexpected attitude or trim disturbances",SRC-MIL-1629A|SRC-SKY-LOCI,seeded
FM-073,failure_mode,Operator role authentication downgrade accepted,"Control station accepts lower-assurance role for privileged command path","Unauthorized authority elevation",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-074,failure_mode,Dual-operator concurrence check omitted,"Required two-person confirmation gate is bypassed in mission mode","Single-point command error with high consequence",SRC-MIL-1629A|SRC-FAA-AC-1309,seeded
FM-075,failure_mode,Mission timeline clock skew versus flight management,"Mission and flight timelines diverge due unsynchronized clocks","Late or early mission actuation conflicting with flight phase",SRC-NASA-ASRS|SRC-ICAO-ADREP,seeded
FM-076,failure_mode,Target track confidence inflation in contested electromagnetic conditions,"Confidence model overstates track validity under interference","Unsafe mission decisioning from false certainty",SRC-ICAO-ADREP|SRC-NASA-ASRS,seeded
FM-077,failure_mode,Remote command latency compensation overflow,"Delay compensation saturates and applies unstable correction","Oscillatory or delayed mission actuation",SRC-MIL-1629A|SRC-NASA-ASRS,seeded
FM-078,failure_mode,Safe-state reversion trigger disabled by configuration fault,"Faulted configuration disables automatic fallback trigger","Mission system remains active in unsafe degraded condition",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
HZ-036,hazard,Braking asymmetry directional-control hazard,"Uneven braking authority during high-speed deceleration","Runway departure or gear-side load exceedance",SRC-FAA-RWYSAFE|SRC-SKY-RE,seeded
HZ-037,hazard,Hydraulic fluid fire or exposure hazard,"Hydraulic leak reaches hot surface or personnel zone","Fire initiation risk and ground or flight hazard escalation",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
HZ-038,hazard,High-energy stop insufficient deceleration hazard,"Brake schedule or anti-skid faults reduce stopping capability","Runway overrun and structural damage risk",SRC-FAA-RWYSAFE|SRC-SKY-RE,seeded
HZ-039,hazard,Ground turn authority loss hazard,"Steering oscillation or authority drop during taxi or rollout","Taxiway excursion and collision risk",SRC-NASA-ASRS|SRC-FAA-RWYSAFE,seeded
HZ-040,hazard,Brake thermal runaway hazard,"Undetected brake overheat progresses after high-energy event","Wheel or brake fire and evacuation trigger",SRC-FAA-RWYSAFE|SRC-NTSB-CAROL,seeded
HZ-041,hazard,Runway occupancy extension hazard,"Degraded braking extends runway occupancy time beyond expectation","Increased incursion and sequencing conflict risk",SRC-FAA-RWYSAFE|SRC-SKY-RWYINC,seeded
HZ-042,hazard,Severe icing performance-cliff hazard,"Anti-ice control failure allows rapid contamination growth","Abrupt lift and handling degradation",SRC-FAA-CAST|SRC-SKY-LOCI,seeded
HZ-043,hazard,Undetected icing during hold or approach hazard,"Ice detection faults persist in critical low-altitude phases","Stall margin erosion during maneuvering",SRC-FAA-CAST|SRC-NASA-ASRS,seeded
HZ-044,hazard,Windshear escape execution-delay hazard,"Escape guidance unavailable or delayed in convective encounter","Energy deficit and terrain conflict precursor",SRC-SKY-WINDSHEAR|SRC-FAA-CAST,seeded
HZ-045,hazard,Weather-avoidance penetration hazard,"Radar attenuation error masks severe weather core","Structural load exceedance and control upset risk",SRC-NASA-ASRS|SRC-ICAO-ADREP,seeded
HZ-046,hazard,Pitot icing unreliable-airspeed hazard,"Partial heating failure yields misleading airspeed indications","Inappropriate control inputs and LOC-I precursor",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
HZ-047,hazard,Mission-command-over-safety-authority hazard,"Mission queue and authority logic delay safety actions","Unsafe persistence of mission behavior in degraded state",SRC-MIL-1629A|SRC-FAA-AC-1309,seeded
HZ-048,hazard,Geofence breach into protected airspace hazard,"Boundary checks bypassed during replanning","Regulatory and separation hazard escalation",SRC-ICAO-ADREP|SRC-FAA-CAST,seeded
HZ-049,hazard,Payload-induced flight-instability hazard,"Payload control coupling perturbs flight-control loop stability","Unexpected upset and handling-quality deterioration",SRC-MIL-1629A|SRC-SKY-LOCI,seeded
HZ-050,hazard,Unauthorized mission command acceptance hazard,"Authentication downgrade permits unsafe command source","Unsafe maneuver or payload actuation",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
HZ-051,hazard,Conflicted mission timeline hazard,"Clock skew causes mission events to conflict with flight-phase constraints","Safety envelope violation and crew overload",SRC-NASA-ASRS|SRC-ICAO-ADREP,seeded
HZ-052,hazard,Loss of assured safe-state fallback hazard,"Fallback trigger disabled during critical fault progression","Uncontained hazard escalation across mission and flight functions",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-079,failure_mode,Thrust lever resolver disagreement undetected,"Resolver channels diverge without timely fault isolation","Uncommanded thrust asymmetry persistence",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
FM-080,failure_mode,FADEC channel-swap latent fault activation,"Control channel handover activates latent wrong-side logic","Engine response transients and thrust instability",SRC-NTSB-CAROL|SRC-EASA-CS25,seeded
FM-081,failure_mode,Fuel crossfeed valve position indication inversion,"Displayed valve state is inverted from actual actuator position","Crew executes incorrect fuel balancing actions",SRC-NASA-ASRS|SRC-NTSB-CAROL,seeded
FM-082,failure_mode,Booster pump cavitation misdiagnosis,"Pressure oscillation is classified as sensor noise rather than feed instability","Feed interruption develops without mitigation",SRC-NTSB-CAROL|SRC-NASA-ASRS,seeded
FM-083,failure_mode,Fuel temperature compensation algorithm error,"Compensation model biases usable fuel estimate under thermal extremes","Reserve prediction error and diversion delay",SRC-NTSB-CAROL|SRC-FAA-CAST,seeded
FM-084,failure_mode,Engine relight envelope lookup corruption,"Relight logic references invalid altitude or speed envelope","Failed relight attempt in recoverable conditions",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
FM-085,failure_mode,Thrust asymmetry compensation saturates late,"Compensation law delays corrective trim and yaw response","Large yaw transient and directional control stress",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
FM-086,failure_mode,APU bleed supply dropout during critical reconfiguration,"Bleed support drops during engine restart or pack transition","Transient thrust or environmental control instability",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
FM-087,failure_mode,Essential bus transfer contactor weld,"Transfer contactor fails to open or close as commanded","Single-fault isolation lost and bus collapse risk",SRC-EASA-CS25|SRC-FAA-AC-1309,seeded
FM-088,failure_mode,Generator load-share controller hunting,"Load-share loop oscillates under variable demand","Power quality instability and nuisance trips",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
FM-089,failure_mode,Battery state-of-charge estimator drift,"Estimator overstates available reserve energy","Emergency endurance shorter than expected",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
FM-090,failure_mode,DC-AC inverter phase synchronization failure,"Inverter output phase slips under transfer events","Avionics reset and control-channel glitches",SRC-FAA-AC-1309|SRC-EASA-CS25,seeded
FM-091,failure_mode,Load-shedding priority table corruption,"Priority map drops essential loads before non-essential services","Safety-critical function interruption",SRC-FAA-AC-1309|SRC-EASA-CS25,seeded
FM-092,failure_mode,External power interlock false release,"Ground power disconnects despite stable source and lock state","Unexpected bus transfer during servicing or preflight",SRC-NASA-ASRS|SRC-EASA-CS25,seeded
FM-093,failure_mode,Arc-fault detection desensitized,"Detection threshold is incorrectly elevated by configuration drift","Electrical arcing persists without trip",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
FM-094,failure_mode,Power-quality harmonic filter bypass,"Filter path opens and allows harmonic distortion on critical buses","Sensor and processor timing errors under noise",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-095,failure_mode,Cabin outflow valve runaway,"Outflow valve commands drive to limit without stabilization","Rapid cabin pressure transients",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
FM-096,failure_mode,Differential-pressure limit logic deadband expansion,"Limit controller deadband widens beyond design range","Delayed protective response to pressure excursions",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
